"user","time"
"39318","1498746100"
"38722","1498746357"
"39354","1498746741"
"38722","1498746814"
"38722","1498746867"
"38722","1498746907"
"39107","1498747449"
"39111","1498747922"
"39111","1498747993"
"38964","1498747998"
"39158","1498748959"
"39149","1498749282"
"39149","1498749595"
"39455","1498750418"
"38725","1498750534"
"39318","1498750556"
"39092","1498750591"
"39422","1498750763"
"39422","1498750894"
"39455","1498751273"
"38735","1498751341"
"39424","1498751571"
"38725","1498751786"
"38725","1498751836"
"39417","1498751867"
"38726","1498752018"
"38726","1498752067"
"39135","1498752354"
"39421","1498752390"
"38838","1498752524"
"38838","1498752559"
"38931","1498752883"
"39350","1498753896"
"38931","1498754118"
"38931","1498754177"
"39318","1498754255"
"39318","1498754521"
"38655","1498755009"
"38964","1498755313"
"38964","1498755352"
"38964","1498755397"
"39389","1498755477"
"38971","1498755863"
"38999","1498755977"
"39003","1498756175"
"39432","1498756232"
"39422","1498756332"
"39426","1498756523"
"38999","1498756532"
"39150","1498756722"
"39422","1498756988"
"39374","1498757342"
"39385","1498757586"
"38762","1498758146"
"39415","1498758252"
"39115","1498758542"
"38735","1498759445"
"39147","1498759765"
"38800","1498760131"
"39419","1498760403"
"39287","1498760648"
"39377","1498760742"
"39412","1498761190"
"38971","1498761382"
"39430","1498761866"
"39000","1498762255"
"39000","1498762255"
"39000","1498762266"
"39000","1498762308"
"39000","1498762308"
"39318","1498762319"
"39318","1498762344"
"39388","1498762649"
"39124","1498763437"
"39096","1498764691"
"39010","1498764882"
"39421","1498765012"
"1062","1498765634"
"38961","1498765653"
"38892","1498765700"
"39318","1498765705"
"39450","1498765745"
"1062","1498765970"
"38886","1498766504"
"1062","1498767361"
"39403","1498767509"
"39254","1498769766"
"39158","1498770036"
"39350","1498770168"
"39010","1498770710"
"38993","1498771787"
"38993","1498771852"
"38993","1498771864"
"39198","1498773209"
"534","1498774655"
"972","1498775285"
"39194","1498775465"
"38711","1498776182"
"730","1498776605"
"38914","1498778172"
"39150","1498778587"
"38729","1498780180"
"39267","1498780244"
"38729","1498780321"
"39393","1498781030"
"557","1498782044"
"39045","1498789238"
"39147","1498822410"
"38988","1498822668"
"38988","1498822678"
"39411","1498826414"
"39158","1498826552"
"38988","1498827782"
"39186","1498828402"
"39186","1498828580"
"39186","1498828627"
"39186","1498828676"
"39014","1498829926"
"39014","1498830032"
"39014","1498830151"
"39000","1498830783"
"39432","1498831800"
"39440","1498832059"
"39440","1498832152"
"39418","1498832157"
"39514","1498832196"
"39514","1498832351"
"38889","1498832536"
"1105","1498833581"
"39411","1498833668"
"39374","1498833931"
"38655","1498834047"
"39374","1498834119"
"39124","1498834426"
"38998","1498835585"
"39423","1498836185"
"39114","1498836439"
"39515","1498837286"
"38984","1498838163"
"39515","1498838217"
"739","1498838344"
"739","1498838354"
"38951","1498838675"
"38729","1498839143"
"39006","1498839460"
"39396","1498842127"
"39150","1498842746"
"39150","1498842885"
"38971","1498842992"
"39383","1498843599"
"38837","1498844581"
"38888","1498844588"
"38837","1498844713"
"38837","1498845219"
"38837","1498845586"
"39064","1498845609"
"39121","1498846076"
"39514","1498846286"
"39307","1498847433"
"39307","1498847541"
"38720","1498847851"
"38720","1498848057"
"38878","1498848392"
"39248","1498848496"
"38735","1498848500"
"39248","1498848510"
"39248","1498848540"
"39248","1498848559"
"39287","1498848692"
"39373","1498848844"
"38738","1498849143"
"39005","1498849320"
"39005","1498849344"
"38961","1498849621"
"38720","1498850038"
"39408","1498850621"
"39376","1498851549"
"39186","1498851592"
"39064","1498851944"
"38837","1498852282"
"39452","1498852926"
"38837","1498853229"
"38837","1498853542"
"38837","1498853614"
"39022","1498856606"
"39267","1498857234"
"39002","1498859596"
"39523","1498859766"
"377","1498862421"
"39037","1498863417"
"39001","1498871802"
"39253","1498903276"
"39118","1498920956"
"1064","1498924531"
"39001","1498926707"
"1057","1498929212"
"1063","1498931055"
"39158","1498931162"
"39158","1498931194"
"39340","1498932166"
"39104","1498933217"
"39340","1498935201"
"39420","1498935721"
"39420","1498936203"
"39405","1498936524"
"39419","1498937209"
"39394","1498939879"
"39393","1498942359"
"38769","1498944546"
"39393","1498944713"
"38575","1499002335"
"39146","1499002502"
"39121","1499004565"
"39452","1499005632"
"39148","1499006574"
"38995","1499007135"
"38995","1499007164"
"38995","1499007184"
"38995","1499007211"
"38995","1499007229"
"38995","1499007263"
"39373","1499008967"
"38999","1499009186"
"39386","1499009209"
"39111","1499009316"
"39146","1499010305"
"39146","1499010444"
"38999","1499011251"
"39381","1499011771"
"39148","1499013686"
"1057","1499015219"
"38779","1499017504"
"38779","1499018025"
"39003","1499020018"
"39003","1499020087"
"39428","1499020481"
"39378","1499020555"
"559","1499020631"
"39111","1499021754"
"39428","1499023015"
"1060","1499024236"
"38879","1499025088"
"39158","1499025188"
"39158","1499026723"
"39401","1499030679"
"39042","1499074721"
"38659","1499076067"
"39146","1499077521"
"39146","1499079918"
"39148","1499081650"
"39149","1499082128"
"39042","1499082350"
"39149","1499086654"
"39064","1499086985"
"39064","1499087147"
"39008","1499087230"
"39198","1499087679"
"39432","1499087805"
"38655","1499088586"
"366","1499088762"
"39193","1499089247"
"39193","1499089391"
"39003","1499090306"
"38574","1499090760"
"39425","1499091626"
"39148","1499092422"
"1059","1499093091"
"39003","1499093311"
"969","1499093737"
"39427","1499094093"
"38987","1499094598"
"39002","1499094659"
"39248","1499095079"
"39007","1499095224"
"39007","1499095452"
"39118","1499095616"
"39004","1499095905"
"39004","1499096579"
"39004","1499096592"
"38876","1499097354"
"38998","1499097773"
"38881","1499098024"
"39265","1499098333"
"39265","1499098346"
"39265","1499098366"
"39265","1499098376"
"39501","1499098668"
"39501","1499098803"
"39501","1499098878"
"39501","1499099045"
"39409","1499099139"
"39152","1499099211"
"1059","1499099538"
"39501","1499099678"
"39501","1499099730"
"39001","1499101380"
"38951","1499101551"
"39127","1499101780"
"39203","1499101852"
"534","1499101853"
"38999","1499102221"
"534","1499102253"
"38999","1499102289"
"39192","1499102487"
"39404","1499102809"
"39127","1499102829"
"39192","1499103232"
"732","1499103250"
"39158","1499104330"
"39127","1499104485"
"39147","1499104724"
"39376","1499105036"
"39438","1499105667"
"39254","1499105971"
"39254","1499106098"
"39254","1499106136"
"1059","1499106560"
"1059","1499106804"
"39150","1499107054"
"38999","1499107577"
"38999","1499107801"
"1064","1499107873"
"740","1499107902"
"38999","1499107915"
"38550","1499107964"
"39182","1499107975"
"39182","1499108018"
"39150","1499108157"
"1064","1499108496"
"39423","1499108496"
"38999","1499108539"
"39412","1499108650"
"665","1499108774"
"38550","1499109203"
"39411","1499109938"
"39135","1499110283"
"39123","1499110401"
"39202","1499110470"
"38550","1499110518"
"38999","1499111185"
"38995","1499111334"
"39340","1499111753"
"1056","1499111917"
"39395","1499112434"
"39199","1499113066"
"1056","1499113110"
"39196","1499113110"
"38880","1499113190"
"39064","1499113308"
"39225","1499113468"
"39225","1499113574"
"39204","1499113607"
"39202","1499113694"
"39013","1499113945"
"39225","1499113946"
"39225","1499113966"
"39197","1499114085"
"39225","1499114136"
"39064","1499114323"
"39506","1499115594"
"718","1499115956"
"38994","1499115966"
"38994","1499116017"
"39150","1499116277"
"39201","1499116611"
"38995","1499117022"
"39200","1499117337"
"39506","1499117442"
"39194","1499118710"
"39307","1499118803"
"663","1499119993"
"39362","1499134163"
"522","1499136494"
"1105","1499162447"
"38984","1499162448"
"39415","1499174693"
"39411","1499175602"
"39427","1499176237"
"39182","1499177082"
"39418","1499179974"
"39106","1499181026"
"39118","1499183466"
"39393","1499184128"
"38994","1499184266"
"38994","1499184374"
"39452","1499184430"
"39146","1499186558"
